k_value,validationError
1,0.0
2,0.002244165170556589
3,0.008677438659485337
4,0.011894075403949711
5,0.01759425493716338
6,0.02109515260323158
7,0.024236983842010784
8,0.026256732495511637
9,0.028825054857370858
10,0.03061041292639133
11,0.03256079647462051
12,0.03396169958108919
13,0.03563043778483632
14,0.037060784816619674
15,0.038539796529024506
16,0.039665619389587126
17,0.04081740416094626
18,0.04179134250947536
19,0.042757252196919615
20,0.04362657091561939
21,0.04449858938189277
22,0.04529133344214131
23,0.04621028803372107
24,0.047015260323159835
25,0.047863554757630156
26,0.04850849330203011
27,0.04923864618658158
28,0.049884585791228564
29,0.050640747848696877
30,0.05134649910233391
31,0.05206463195691202
32,0.05270982944344704
33,0.05339753005821224
34,0.0539655718660893
35,0.05457809694793536
36,0.055081787352882494
37,0.055631034984715444
38,0.05615137484645183
39,0.05671408184873172
40,0.05718132854578095
41,0.05786661995883868
42,0.058284175429597296
43,0.05893282117656884
44,0.05938877101354656
45,0.059844404548174746
46,0.060280227929123464
47,0.06071660491233433
48,0.061153500897666024
49,0.06159088410947866
50,0.06201077199281868
51,0.062449396275565894
52,0.0628884132025963
53,0.06332780054876186
54,0.06375091428951396
55,0.06417496327729721
56,0.06455180815593742
57,0.06493117893476963
58,0.0652974679626076
59,0.06568176977147555
60,0.06606822262118495
61,0.06645672072284192
62,0.06684716511264266
63,0.06726796044569838
64,0.0676756059245961
65,0.06809832896008838
66,0.06845383820249173
67,0.06882553123074042
68,0.06917309113950787
69,0.06952358650118384
70,0.06986406770966913
71,0.07023288745037548
72,0.07057899461400363
73,0.07101399375322792
74,0.07142510553641612
75,0.07187312986235783
76,0.07228574128318999
77,0.07269929352514626
78,0.0731022418634627
79,0.07351771470127033
80,0.07391157989228003
81,0.07431788461112221
82,0.07469238516442611
83,0.075101122623348
84,0.07550012823800978
85,0.07590030626254096
86,0.07628073984384787
87,0.07666274582636867
88,0.07701566835319085
89,0.07737074617231154
90,0.07771793337322963
91,0.07806735454850355
92,0.07841893685114354
93,0.07880156753730627
94,0.07916650750601628
95,0.07953321364452426
96,0.07986422800718129
97,0.08020692591015932
98,0.08053347012054368
99,0.08085341747819308
100,0.08115798922800721
101,0.08148319320262365
102,0.08180202062871822
103,0.08212337243555101
104,0.08241265018643829
105,0.08273061468752674
106,0.08304257985840591
107,0.08336549270960925
108,0.08368242569319773
109,0.08400177886119942
110,0.08431532560796473
111,0.08462322286379742
112,0.08491760707873819
113,0.08520678095359147
114,0.08549875586632649
115,0.0858012645382874
116,0.08609081904290228
117,0.08638309625742302
118,0.08666281228128903
119,0.08695291402018612
120,0.08723070017953316
121,0.08751873228778728
122,0.08779468463960916
123,0.08806614996132012
124,0.08833323681010019
125,0.08859605026929984
126,0.08886181642016466
127,0.08913046551407289
128,0.08938089093357271
129,0.08964135109181248
130,0.08990470929429639
131,0.09018460399906802
132,0.09044665687394593
133,0.09071151847302272
134,0.09095902891288621
135,0.09122282066626775
136,0.09147613264336252
137,0.09175195586365958
138,0.09202378164598135
139,0.09230461232450304
140,0.09258784303667611
141,0.09286705629193881
142,0.0931423369661416
143,0.09341376756098485
144,0.09368766207859569
145,0.09395777874079114
146,0.09421804677700996
147,0.09448088032340407
148,0.09472803144257358
149,0.09498993891051055
150,0.09525433871932976
151,0.09552118135232501
152,0.0957786072002268
153,0.09603853510285021
154,0.09628925831798363
155,0.09654832918283429
156,0.09679832435667268
157,0.09705085249688394
158,0.0972945026475468
159,0.09753508801644029
160,0.09777266606822266
161,0.0980184439711409
162,0.0982611875789614
163,0.09850095273760617
164,0.09874326750448836
165,0.09898264512268107
166,0.09921913867318466
167,0.09946355045743338
168,0.099705052577584
169,0.09994369668447833
170,0.10017953321364448
171,0.10041261142083213
172,0.10064297941630829
173,0.10087068419796386
174,0.10109577168327866
175,0.10131828674018983
176,0.10153317284152119
177,0.10174563085131205
178,0.1019557016924536
179,0.10216342537335887
180,0.10236385397965286
181,0.10259678427249375
182,0.10283701935407497
183,0.10307953419470028
184,0.10331941300444936
185,0.10355669852976856
186,0.1037914325978263
187,0.10402365614109199
188,0.10425340922113147
189,0.10448073105164668
190,0.10470566002078807
191,0.10493293353511235
192,0.10516251496110118
193,0.10538971730495528
194,0.10563308593533105
195,0.10587395847719006
196,0.10611237313596888
197,0.10635292402190855
198,0.10659104510091943
199,0.10684030565755165
200,0.10708258527827652
201,0.10732692015684597
202,0.10756439198677503
203,0.10779952419276384
204,0.10803675150491077
205,0.10827166440425628
206,0.10851301180038697
207,0.1087607004397263
208,0.1090016917552824
209,0.10924037693384758
210,0.10947251431991112
211,0.10971096003471548
212,0.10994715626164431
213,0.11018113468362534
214,0.11041292639138245
215,0.11064256189720678
216,0.11087007114834768
217,0.11109548354003096
218,0.11131882792812087
219,0.1115483305050704
220,0.11177166639464664
221,0.11200110481977632
222,0.11222443269121907
223,0.11244978303048847
224,0.11267312131315721
225,0.11289846399361658
226,0.11310989656980341
227,0.11332342077998081
228,0.11353507197077073
229,0.11375271455787006
230,0.11397236749668249
231,0.11419400467874441
232,0.11441373119544362
233,0.11463157164762172
234,0.11484371403581461
235,0.11505405095687382
236,0.11526260536165289
237,0.11548076267527219
238,0.11569708673415502
239,0.11591160054986738
240,0.11612058647516454
241,0.11633156283290003
242,0.11654079558437325
243,0.1167483062555873
244,0.11695043706036434
245,0.11715824570402666
246,0.11736436484652102
247,0.11757244928368427
248,0.11777523599930506
249,0.11797999899057632
250,0.1181831238779174
251,0.11839535931677236
252,0.1185987860135077
253,0.11880770076851566
254,0.1190114364070739
255,0.1192170943781462
256,0.11942114564631956
257,0.11962360896688062
258,0.11982450280433665
259,0.12002384533802846
260,0.12022165446761501
261,0.12041794781843074
262,0.12061274274672107
263,0.12080605634475838
264,0.12099790544584077
265,0.12118830662917923
266,0.12137727622467298
267,0.12156819236277816
268,0.12175433425332938
269,0.1219390921893041
270,0.12212580623711677
271,0.1223111423214771
272,0.12249511564051119
273,0.12268102932375824
274,0.12286558597282105
275,0.12305206463195695
276,0.12323393958317075
277,0.12341450135784149
278,0.12359376412693901
279,0.12377174185826534
280,0.12394844832008212
281,0.12412389708466176
282,0.12429810153176213
283,0.1244710748520278
284,0.12464283005031984
285,0.12481337994897479
286,0.12498273719099573
287,0.12515404199951208
288,0.12532415719130263
289,0.12549620122629257
290,0.12566086795022602
291,0.12583674199658212
292,0.12601141142618233
293,0.1261848885729867
294,0.12635718560314613
295,0.12653135745367128
296,0.12670435246736866
297,0.1268761825314788
298,0.12704987167592452
299,0.12722239902007293
